Company Name,Full Address,Activities,Company ID,Start Date,See Also,Number of Employees,Turnover,Last Year
VALERCO,"Duffelsesteenweg 164b, 2550 Kontich, Belgium","70220, 46460, 46170, 70210, 70220, 74142, 74141",478658475.0,2002-10-25,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=478658475, databe: https://data.be/en/company/0478658475, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0478658475&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0478658475, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=478658475, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0478658475, kbodata: http://data.kbodata.be/organisation/0478_658_475, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0478658475, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0478658475, opencorporates: https://opencorporates.com/companies/be/0478658475, opencorporatesapi: https://api.opencorporates.com/companies/be/0478658475, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0478658475, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0478658475, trendstop: http://trendstop.knack.be/en/detail/0478658475, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0478658475",6,"47,525",2022.0
ILLUMINA BELGIUM,"Fonsnylaan 46, 1060 Sint-Gillis (bij-Brussel), Belgium","46460, 46460, 46510, 46693, 62010",676478592.0,2017-06-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=676478592, databe: https://data.be/en/company/0676478592, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0676478592&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0676478592, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=676478592, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0676478592, kbodata: http://data.kbodata.be/organisation/0676_478_592, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0676478592, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0676478592, opencorporates: https://opencorporates.com/companies/be/0676478592, opencorporatesapi: https://api.opencorporates.com/companies/be/0676478592, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0676478592, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0676478592, trendstop: http://trendstop.knack.be/en/detail/0676478592, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0676478592",31,"34,985",2022.0
BAUSCH & LOMB PHARMA,"Lambermontlaan 430, 1030 Schaarbeek, Belgium","46460, 46460, 51460",439621618.0,1989-12-19,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=439621618, databe: https://data.be/en/company/0439621618, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0439621618&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0439621618, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=439621618, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0439621618, kbodata: http://data.kbodata.be/organisation/0439_621_618, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0439621618, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0439621618, opencorporates: https://opencorporates.com/companies/be/0439621618, opencorporatesapi: https://api.opencorporates.com/companies/be/0439621618, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0439621618, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0439621618, trendstop: http://trendstop.knack.be/en/detail/0439621618, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0439621618",12,"29,427",2022.0
MAPIC EUROPE,"Excelsiorlaan 83, 1930 Zaventem, Belgium","46751, 46460, 51460, 51550",412863276.0,1972-12-12,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=412863276, databe: https://data.be/en/company/0412863276, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0412863276&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0412863276, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=412863276, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0412863276, kbodata: http://data.kbodata.be/organisation/0412_863_276, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0412863276, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0412863276, opencorporates: https://opencorporates.com/companies/be/0412863276, opencorporatesapi: https://api.opencorporates.com/companies/be/0412863276, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0412863276, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0412863276, trendstop: http://trendstop.knack.be/en/detail/0412863276, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0412863276",4,"21,794",2022.0
VIRBAC BELGIUM,"Esperantolaan 4, 3001 Leuven, Belgium","46460, 46460, 51460, 51460",453392252.0,1994-09-08,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=453392252, databe: https://data.be/en/company/0453392252, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0453392252&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0453392252, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=453392252, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0453392252, kbodata: http://data.kbodata.be/organisation/0453_392_252, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0453392252, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0453392252, opencorporates: https://opencorporates.com/companies/be/0453392252, opencorporatesapi: https://api.opencorporates.com/companies/be/0453392252, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0453392252, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0453392252, trendstop: http://trendstop.knack.be/en/detail/0453392252, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0453392252",14,"20,359",2022.0
BIOCODEX BENELUX,"Marie Curiesquare 20, 1070 Anderlecht, Belgium","46460, 46460, 51460, 51460",401936623.0,1960-02-26,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=401936623, databe: https://data.be/en/company/0401936623, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0401936623&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0401936623, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=401936623, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0401936623, kbodata: http://data.kbodata.be/organisation/0401_936_623, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0401936623, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0401936623, opencorporates: https://opencorporates.com/companies/be/0401936623, opencorporatesapi: https://api.opencorporates.com/companies/be/0401936623, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0401936623, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0401936623, trendstop: http://trendstop.knack.be/en/detail/0401936623, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0401936623",49,"17,931",2022.0
ZAMBON,"Burgemeester Etienne Demunterl. 3, 1090 Jette, Belgium","46460, 46460, 51460, 51460",403069741.0,1965-07-19,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403069741, databe: https://data.be/en/company/0403069741, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403069741&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403069741, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403069741, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403069741, kbodata: http://data.kbodata.be/organisation/0403_069_741, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403069741, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403069741, opencorporates: https://opencorporates.com/companies/be/0403069741, opencorporatesapi: https://api.opencorporates.com/companies/be/0403069741, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403069741, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403069741, trendstop: http://trendstop.knack.be/en/detail/0403069741, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403069741",26,"17,388",2022.0
NORGINE,"Romeinse straat 10, 3001 Leuven, Belgium","46460, 46460, 51460, 51460",403077461.0,1930-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403077461, databe: https://data.be/en/company/0403077461, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403077461&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403077461, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403077461, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403077461, kbodata: http://data.kbodata.be/organisation/0403_077_461, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403077461, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403077461, opencorporates: https://opencorporates.com/companies/be/0403077461, opencorporatesapi: https://api.opencorporates.com/companies/be/0403077461, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403077461, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403077461, trendstop: http://trendstop.knack.be/en/detail/0403077461, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403077461",32,"17,180",2021.0
ABBOTT RAPID DIAGNOSTICS,"Da Vincilaan 11, 1930 Zaventem, Belgium","46460, 46460, 51180",455002056.0,1995-04-11,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=455002056, databe: https://data.be/en/company/0455002056, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0455002056&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0455002056, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=455002056, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0455002056, kbodata: http://data.kbodata.be/organisation/0455_002_056, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0455002056, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0455002056, opencorporates: https://opencorporates.com/companies/be/0455002056, opencorporatesapi: https://api.opencorporates.com/companies/be/0455002056, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0455002056, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0455002056, trendstop: http://trendstop.knack.be/en/detail/0455002056, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0455002056",6,"17,090",2022.0
CEVA SANTE ANIMALE,"Metrologielaan 6, 1130 Brussel, Belgium","46460, 46460, 46216, 51460, 51210, 51460",418894795.0,1978-11-03,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=418894795, databe: https://data.be/en/company/0418894795, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0418894795&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0418894795, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=418894795, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0418894795, kbodata: http://data.kbodata.be/organisation/0418_894_795, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0418894795, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0418894795, opencorporates: https://opencorporates.com/companies/be/0418894795, opencorporatesapi: https://api.opencorporates.com/companies/be/0418894795, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0418894795, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0418894795, trendstop: http://trendstop.knack.be/en/detail/0418894795, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0418894795",26,"15,790",2022.0
