Company Name,Full Address,Activities,Company ID,Start Date,See Also,Number of Employees,Turnover,Last Year
DENTAL DISCOUNT,"Waterjufferstraat 2, 2300 Turnhout, Belgium","46460, 51460",445781019.0,1991-11-20,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=445781019, databe: https://data.be/en/company/0445781019, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0445781019&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0445781019, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=445781019, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0445781019, kbodata: http://data.kbodata.be/organisation/0445_781_019, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0445781019, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0445781019, opencorporates: https://opencorporates.com/companies/be/0445781019, opencorporatesapi: https://api.opencorporates.com/companies/be/0445781019, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0445781019, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0445781019, trendstop: http://trendstop.knack.be/en/detail/0445781019, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0445781019",n.b.,8584.222,2022.0
B.H.I. DENTAL,"Waterjufferstraat 2, 2300 Turnhout, Belgium","46460, 46460, 51460, 51460",420717011.0,1980-09-08,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=420717011, databe: https://data.be/en/company/0420717011, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0420717011&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0420717011, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=420717011, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0420717011, kbodata: http://data.kbodata.be/organisation/0420_717_011, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0420717011, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0420717011, opencorporates: https://opencorporates.com/companies/be/0420717011, opencorporatesapi: https://api.opencorporates.com/companies/be/0420717011, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0420717011, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0420717011, trendstop: http://trendstop.knack.be/en/detail/0420717011, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0420717011",n.b.,3290.645,2022.0
FORLAB,"Lensstraat 20, 1050 Elsene, Belgium","46460, 46460, 51460, 51460",423153392.0,1982-10-26,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=423153392, databe: https://data.be/en/company/0423153392, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0423153392&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0423153392, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=423153392, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0423153392, kbodata: http://data.kbodata.be/organisation/0423_153_392, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0423153392, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0423153392, opencorporates: https://opencorporates.com/companies/be/0423153392, opencorporatesapi: https://api.opencorporates.com/companies/be/0423153392, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0423153392, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0423153392, trendstop: http://trendstop.knack.be/en/detail/0423153392, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0423153392",2,1714.859,2022.0
ENZO LIFE SCIENCES,"Louizalaan 65, 1050 Elsene, Belgium","46460, 46460, 46190, 46900, 47789, 95290, 51900, 51190, 52498, 52740, 51460",459284211.0,1996-11-25,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=459284211, databe: https://data.be/en/company/0459284211, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0459284211&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0459284211, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=459284211, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0459284211, kbodata: http://data.kbodata.be/organisation/0459_284_211, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0459284211, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0459284211, opencorporates: https://opencorporates.com/companies/be/0459284211, opencorporatesapi: https://api.opencorporates.com/companies/be/0459284211, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0459284211, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0459284211, trendstop: http://trendstop.knack.be/en/detail/0459284211, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0459284211",1,1329.915,2023.0
SISSEL BENELUX,"Grijpenlaan 23, 3300 Tienen, Belgium","46460, 51460",451206881.0,1993-10-18,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=451206881, databe: https://data.be/en/company/0451206881, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0451206881&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0451206881, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=451206881, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0451206881, kbodata: http://data.kbodata.be/organisation/0451_206_881, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0451206881, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0451206881, opencorporates: https://opencorporates.com/companies/be/0451206881, opencorporatesapi: https://api.opencorporates.com/companies/be/0451206881, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0451206881, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0451206881, trendstop: http://trendstop.knack.be/en/detail/0451206881, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0451206881",n.b.,740.061,2022.0
IDB BELGIE,"Medialaan 40, 1800 Vilvoorde, Belgium","46460, 46460, 77295, 51460, 71407",873993457.0,2005-05-23,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=873993457, databe: https://data.be/en/company/0873993457, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0873993457&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0873993457, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=873993457, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0873993457, kbodata: http://data.kbodata.be/organisation/0873_993_457, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0873993457, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0873993457, opencorporates: https://opencorporates.com/companies/be/0873993457, opencorporatesapi: https://api.opencorporates.com/companies/be/0873993457, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0873993457, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0873993457, trendstop: http://trendstop.knack.be/en/detail/0873993457, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0873993457",n.b.,250.711,2022.0
LIEVENS-LANCKMAN,No result,No activities found,No ID,No Start Date,No See Also Info,2,n.b.,2022.0
ETABLISSEMENTS MEDI-LABO,"Scheutlaan 194, 1070 Anderlecht, Belgium","46460, 51460",403023023,1968-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403023023, databe: https://data.be/en/company/0403023023, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403023023&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403023023, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403023023, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403023023, kbodata: http://data.kbodata.be/organisation/0403_023_023, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403023023, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403023023, opencorporates: https://opencorporates.com/companies/be/0403023023, opencorporatesapi: https://api.opencorporates.com/companies/be/0403023023, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403023023, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403023023, trendstop: http://trendstop.knack.be/en/detail/0403023023, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403023023",n.b.,n.b.,2023.0
SYNTEX,"Dantestraat 75, 1070 Anderlecht, Belgium",,403089042,1962-08-09,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403089042, databe: https://data.be/en/company/0403089042, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403089042&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403089042, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403089042, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403089042, kbodata: http://data.kbodata.be/organisation/0403_089_042, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403089042, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403089042, opencorporates: https://opencorporates.com/companies/be/0403089042, opencorporatesapi: https://api.opencorporates.com/companies/be/0403089042, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403089042, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403089042, trendstop: http://trendstop.knack.be/en/detail/0403089042, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403089042",n.b.,0,1999.0
UNIPHAR,"Antoine Dansaertstraat 1, 1000 Brussel, Belgium","47730, 46460, 51460, 52310",403095079,1968-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403095079, databe: https://data.be/en/company/0403095079, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403095079&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403095079, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403095079, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403095079, kbodata: http://data.kbodata.be/organisation/0403_095_079, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403095079, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403095079, opencorporates: https://opencorporates.com/companies/be/0403095079, opencorporatesapi: https://api.opencorporates.com/companies/be/0403095079, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403095079, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403095079, trendstop: http://trendstop.knack.be/en/detail/0403095079, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403095079",1,n.b.,2022.0
