Company Name,Full Address,Activities,Company ID,Start Date,See Also,Number of Employees,Turnover,Last Year
TRANSEURO RESEAU LIMITED,"St. James Street, 5 A ,  Dover, Kent CT16 1QD, Belgium",,460974286.0,1997-06-17,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=460974286, databe: https://data.be/en/company/0460974286, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0460974286&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0460974286, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=460974286, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0460974286, kbodata: http://data.kbodata.be/organisation/0460_974_286, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0460974286, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0460974286, opencorporates: https://opencorporates.com/companies/be/0460974286, opencorporatesapi: https://api.opencorporates.com/companies/be/0460974286, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0460974286, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0460974286, trendstop: http://trendstop.knack.be/en/detail/0460974286, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0460974286",n.b.,552,1998.0
EOLE - EOLEMED - TESTEOL,No result,No activities found,No ID,No Start Date,No See Also Info,n.b.,58.827,2022.0
INTERNATIONAL NEW PRODUCTS,"VIALE GRAN SASSO 3, SN MILAN, Belgium",,423192588,1982-09-15,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=423192588, databe: https://data.be/en/company/0423192588, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0423192588&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0423192588, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=423192588, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0423192588, kbodata: http://data.kbodata.be/organisation/0423_192_588, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0423192588, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0423192588, opencorporates: https://opencorporates.com/companies/be/0423192588, opencorporatesapi: https://api.opencorporates.com/companies/be/0423192588, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0423192588, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0423192588, trendstop: http://trendstop.knack.be/en/detail/0423192588, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0423192588",n.b.,5.695,2007.0
KRESRY,"Voetbeeklaan 11, 2950 Kapellen, Belgium","46460, 51460",403758441,1968-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403758441, databe: https://data.be/en/company/0403758441, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403758441&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403758441, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403758441, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403758441, kbodata: http://data.kbodata.be/organisation/0403_758_441, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403758441, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403758441, opencorporates: https://opencorporates.com/companies/be/0403758441, opencorporatesapi: https://api.opencorporates.com/companies/be/0403758441, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403758441, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403758441, trendstop: http://trendstop.knack.be/en/detail/0403758441, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403758441",n.b.,n.b.,2022.0
PROMOPHARMA,"Buysdellelaan 22, 1180 Ukkel, Belgium","46460, 51550",416792865,1976-12-21,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=416792865, databe: https://data.be/en/company/0416792865, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0416792865&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0416792865, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=416792865, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0416792865, kbodata: http://data.kbodata.be/organisation/0416_792_865, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0416792865, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0416792865, opencorporates: https://opencorporates.com/companies/be/0416792865, opencorporatesapi: https://api.opencorporates.com/companies/be/0416792865, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0416792865, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0416792865, trendstop: http://trendstop.knack.be/en/detail/0416792865, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0416792865",n.b.,n.b.,2022.0
INTER MEDIC ALL,"Paapsemlaan 18C, 1070 Anderlecht, Belgium","46460, 51460",422059569,1981-09-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=422059569, databe: https://data.be/en/company/0422059569, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0422059569&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0422059569, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=422059569, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0422059569, kbodata: http://data.kbodata.be/organisation/0422_059_569, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0422059569, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0422059569, opencorporates: https://opencorporates.com/companies/be/0422059569, opencorporatesapi: https://api.opencorporates.com/companies/be/0422059569, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0422059569, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0422059569, trendstop: http://trendstop.knack.be/en/detail/0422059569, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0422059569",n.b.,n.b.,2021.0
EUROPHARMACEUTICALS,"Wolvendaellaan 21, 1180 Ukkel, Belgium","46460, 21201, 70220, 51472",425594923,1984-03-29,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=425594923, databe: https://data.be/en/company/0425594923, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0425594923&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0425594923, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=425594923, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0425594923, kbodata: http://data.kbodata.be/organisation/0425_594_923, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0425594923, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0425594923, opencorporates: https://opencorporates.com/companies/be/0425594923, opencorporatesapi: https://api.opencorporates.com/companies/be/0425594923, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0425594923, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0425594923, trendstop: http://trendstop.knack.be/en/detail/0425594923, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0425594923",n.b.,n.b.,2022.0
BIOMEDECINE,"Amazonenlaan 3, 1800 Vilvoorde, Belgium","46460, 46493, 51460",426653609,1985-01-09,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=426653609, databe: https://data.be/en/company/0426653609, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0426653609&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0426653609, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=426653609, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0426653609, kbodata: http://data.kbodata.be/organisation/0426_653_609, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0426653609, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0426653609, opencorporates: https://opencorporates.com/companies/be/0426653609, opencorporatesapi: https://api.opencorporates.com/companies/be/0426653609, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0426653609, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0426653609, trendstop: http://trendstop.knack.be/en/detail/0426653609, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0426653609",n.b.,n.b.,2022.0
BUSINESS EXPANSION,"Winston Churchilllaan 92, 1180 Ukkel, Belgium","46460, 47740, 51460, 52320",430031385,1986-12-10,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=430031385, databe: https://data.be/en/company/0430031385, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0430031385&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0430031385, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=430031385, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0430031385, kbodata: http://data.kbodata.be/organisation/0430_031_385, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0430031385, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0430031385, opencorporates: https://opencorporates.com/companies/be/0430031385, opencorporatesapi: https://api.opencorporates.com/companies/be/0430031385, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0430031385, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0430031385, trendstop: http://trendstop.knack.be/en/detail/0430031385, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0430031385",n.b.,n.b.,2022.0
NEUCON,"Sint Antoniuslaan 4, 1950 Kraainem, Belgium",,430934376,1987-04-10,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=430934376, databe: https://data.be/en/company/0430934376, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0430934376&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0430934376, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=430934376, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0430934376, kbodata: http://data.kbodata.be/organisation/0430_934_376, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0430934376, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0430934376, opencorporates: https://opencorporates.com/companies/be/0430934376, opencorporatesapi: https://api.opencorporates.com/companies/be/0430934376, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0430934376, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0430934376, trendstop: http://trendstop.knack.be/en/detail/0430934376, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0430934376",n.b.,n.b.,2009.0
