Company Name,Full Address,Activities,Company ID,Start Date,See Also,Number of Employees,Turnover,Last Year
DAXISPHARMA,"Internationalelaan 57, 1070 Anderlecht, Belgium","46460, 46460, 51460, 51460",420720276.0,1980-08-29,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=420720276, databe: https://data.be/en/company/0420720276, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0420720276&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0420720276, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=420720276, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0420720276, kbodata: http://data.kbodata.be/organisation/0420_720_276, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0420720276, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0420720276, opencorporates: https://opencorporates.com/companies/be/0420720276, opencorporatesapi: https://api.opencorporates.com/companies/be/0420720276, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0420720276, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0420720276, trendstop: http://trendstop.knack.be/en/detail/0420720276, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0420720276",40,n.b.,2022.0
FEDEGARI EUROPE,No result,No activities found,No ID,No Start Date,No See Also Info,13,n.b.,2022.0
FEBELCO,"Eigenlostraat 1, 9100 Sint-Niklaas, Belgium","46460, 46460, 46389, 46442, 46450, 51460, 51384, 51442, 51450, 51460",458780306,1996-09-11,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=458780306, databe: https://data.be/en/company/0458780306, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0458780306&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0458780306, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=458780306, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0458780306, kbodata: http://data.kbodata.be/organisation/0458_780_306, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0458780306, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0458780306, opencorporates: https://opencorporates.com/companies/be/0458780306, opencorporatesapi: https://api.opencorporates.com/companies/be/0458780306, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0458780306, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0458780306, trendstop: http://trendstop.knack.be/en/detail/0458780306, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0458780306",914,1646853.216,2022.0
MEDIGROUP,"Marie Curiesquare 50, 1070 Anderlecht, Belgium","70220, 46460, 70100, 70220",826773857,2010-06-18,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=826773857, databe: https://data.be/en/company/0826773857, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0826773857&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0826773857, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=826773857, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0826773857, kbodata: http://data.kbodata.be/organisation/0826_773_857, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0826773857, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0826773857, opencorporates: https://opencorporates.com/companies/be/0826773857, opencorporatesapi: https://api.opencorporates.com/companies/be/0826773857, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0826773857, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0826773857, trendstop: http://trendstop.knack.be/en/detail/0826773857, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0826773857",14,n.b.,2022.0
PFIZER SERVICE COMPANY,"Hoge Wei 10, 1930 Zaventem, Belgium","46460, 46460, 21201, 46751, 51460, 24421, 51550, 51460",478242365,2002-09-02,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=478242365, databe: https://data.be/en/company/0478242365, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0478242365&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0478242365, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=478242365, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0478242365, kbodata: http://data.kbodata.be/organisation/0478_242_365, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0478242365, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0478242365, opencorporates: https://opencorporates.com/companies/be/0478242365, opencorporatesapi: https://api.opencorporates.com/companies/be/0478242365, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0478242365, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0478242365, trendstop: http://trendstop.knack.be/en/detail/0478242365, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0478242365",238,68000000,2022.0
JANSSEN-CILAG,"Antwerpseweg 15-17, 2340 Beerse, Belgium","46460, 46460, 74152, 51460",415283427,1975-08-06,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=415283427, databe: https://data.be/en/company/0415283427, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0415283427&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0415283427, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=415283427, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0415283427, kbodata: http://data.kbodata.be/organisation/0415_283_427, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0415283427, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0415283427, opencorporates: https://opencorporates.com/companies/be/0415283427, opencorporatesapi: https://api.opencorporates.com/companies/be/0415283427, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0415283427, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0415283427, trendstop: http://trendstop.knack.be/en/detail/0415283427, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0415283427",239,556479.612,2022.0
GMED HEALTHCARE,"Leonardo da Vincilaan 15, 1831 Machelen (Brab.), Belgium","46460, 46460, 64200, 68100",822358674,2010-01-15,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=822358674, databe: https://data.be/en/company/0822358674, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0822358674&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0822358674, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=822358674, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0822358674, kbodata: http://data.kbodata.be/organisation/0822_358_674, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0822358674, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0822358674, opencorporates: https://opencorporates.com/companies/be/0822358674, opencorporatesapi: https://api.opencorporates.com/companies/be/0822358674, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0822358674, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0822358674, trendstop: http://trendstop.knack.be/en/detail/0822358674, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0822358674",109,3396423,2022.0
TERUMO EUROPE,"Interleuvenlaan 40, 3001 Leuven, Belgium","32500, 46460, 32500, 51460, 33102",408270327,1971-05-05,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=408270327, databe: https://data.be/en/company/0408270327, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0408270327&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0408270327, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=408270327, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0408270327, kbodata: http://data.kbodata.be/organisation/0408_270_327, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0408270327, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0408270327, opencorporates: https://opencorporates.com/companies/be/0408270327, opencorporatesapi: https://api.opencorporates.com/companies/be/0408270327, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0408270327, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0408270327, trendstop: http://trendstop.knack.be/en/detail/0408270327, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0408270327",758,664933.258,2022.0
VWR INTERNATIONAL,"Geldenaaksebaan 464, 3001 Leuven, Belgium","46460, 46460, 46751, 33201, 51550, 51460",403593343,1937-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403593343, databe: https://data.be/en/company/0403593343, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403593343&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403593343, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403593343, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403593343, kbodata: http://data.kbodata.be/organisation/0403_593_343, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403593343, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403593343, opencorporates: https://opencorporates.com/companies/be/0403593343, opencorporatesapi: https://api.opencorporates.com/companies/be/0403593343, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403593343, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403593343, trendstop: http://trendstop.knack.be/en/detail/0403593343, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403593343",461,575847.696,2022.0
OMEGA PHARMA INTERNATIONAL,"Venecoweg 26, 9810 Nazareth, Belgium","46460, 46460, 46450",807596363,2008-11-05,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=807596363, databe: https://data.be/en/company/0807596363, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0807596363&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0807596363, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=807596363, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0807596363, kbodata: http://data.kbodata.be/organisation/0807_596_363, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0807596363, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0807596363, opencorporates: https://opencorporates.com/companies/be/0807596363, opencorporatesapi: https://api.opencorporates.com/companies/be/0807596363, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0807596363, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0807596363, trendstop: http://trendstop.knack.be/en/detail/0807596363, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0807596363",24,374888.612,2022.0
