Company Name,Full Address,Latitude,Longitude,Street,Number,Postal Code,City,Country,Activities,NACE Descriptions,Company ID,Start Date,See Also,Number of Employees,Turnover,Last Year,Sector,LEVENSDUURVERLENGING,LEVENSDUURVERLENGING urls,MATERIALENGEBRUIK,MATERIALENGEBRUIK urls,ECODESIGN,ECODESIGN urls
VALERCO,"Duffelsesteenweg 164b, 2550 Kontich, Belgium",51.12248870000001,4.463871,Duffelsesteenweg,164b,2550,Kontich,Belgium,"70220, 46460, 46170, 70210, 70220","Business and other management consultancy activities; Wholesale trade of pharmaceutical goods; Commission trade of food, beverages and tobacco; Public relations and communication activities; Business and other management consultancy activities",478658475,2002-10-25,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=478658475, databe: https://data.be/en/company/0478658475, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0478658475&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0478658475, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=478658475, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0478658475, kbodata: http://data.kbodata.be/organisation/0478_658_475, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0478658475, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0478658475, opencorporates: https://opencorporates.com/companies/be/0478658475, opencorporatesapi: https://api.opencorporates.com/companies/be/0478658475, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0478658475, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0478658475, trendstop: http://trendstop.knack.be/en/detail/0478658475, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0478658475",6,"47,525",2022.0,LA_WSale_Farma,"In this context, the relevance of the company VALERCO is described in relation to sustainable waste management. The mention of PG&E securing conservation for 140,000 acres of watershed lands and Lithion Technologies opening its first sustainable waste management facility highlights the importance of environmentally friendly practices in various industries. VALERCO's focus on waste management aligns with the broader theme of environmental conservation and sustainability discussed in the surrounding content.",https://www.environmentenergyleader.com/2024/03/summit-carbon-solutions-adds-valero-facilities-to-css-project/,,,,
ILLUMINA BELGIUM,"Fonsnylaan 46, 1060 Sint-Gillis (bij-Brussel), Belgium",50.8360153,4.3377862,Fonsnylaan,46,1060,Sint-Gillis (bij-Brussel),Belgium,"46460, 46460, 46510, 46693, 62010","Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods; Wholesale trade of computers, computer peripheral equipment and software; Wholesale trade of electrical material, including installation material; Computer programming activities",676478592,2017-06-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=676478592, databe: https://data.be/en/company/0676478592, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0676478592&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0676478592, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=676478592, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0676478592, kbodata: http://data.kbodata.be/organisation/0676_478_592, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0676478592, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0676478592, opencorporates: https://opencorporates.com/companies/be/0676478592, opencorporatesapi: https://api.opencorporates.com/companies/be/0676478592, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0676478592, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0676478592, trendstop: http://trendstop.knack.be/en/detail/0676478592, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0676478592",31,"34,985",2022.0,LA_WSale_Farma,"ILLUMINA BELGIUM wordt beschreven in de context van genomics research en innovation. Het bedrijf biedt producten en diensten voor verschillende toepassingen, waaronder microbieel genoomonderzoek en reproductieve gezondheid. Daarnaast wordt verwezen naar open-source bioinformatica tools en het minimaliseren van downtime en instrument herkwalificatie. De focus ligt op het leveren van geavanceerde technologieën voor het identificeren van ziekteverwekkende varianten in menselijk DNA.",https://sapac.illumina.com/company/news-center/feature-articles/new-sustainable-packaging-arriving-now.html,"In this context, the relevance of Illumina Belgium is highlighted through its commitment to corporate social responsibility and sustainability. Illumina is introducing environmentally friendly packaging options to reduce the environmental impact of its products, such as implementing a curbside-recyclable alternative to expanded polystyrene (EPS) for shipping temperature sensitive products. This initiative aligns with Illumina's efforts to be a responsible corporate citizen and reduce waste that would otherwise end up in landfills. Illumina's focus on sustainability and environmental stewardship demonstrates the company's dedication to making a positive impact on the planet.","https://sapac.illumina.com/company/news-center/feature-articles/new-sustainable-packaging-arriving-now.html, https://www.illumina.com/company/careers.html",,
BAUSCH & LOMB PHARMA,"Lambermontlaan 430, 1030 Schaarbeek, Belgium",50.8621312,4.3892504,Lambermontlaan,430,1030,Schaarbeek,Belgium,"46460, 46460",Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods,439621618,1989-12-19,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=439621618, databe: https://data.be/en/company/0439621618, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0439621618&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0439621618, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=439621618, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0439621618, kbodata: http://data.kbodata.be/organisation/0439_621_618, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0439621618, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0439621618, opencorporates: https://opencorporates.com/companies/be/0439621618, opencorporatesapi: https://api.opencorporates.com/companies/be/0439621618, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0439621618, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0439621618, trendstop: http://trendstop.knack.be/en/detail/0439621618, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0439621618",12,"29,427",2022.0,LA_WSale_Farma,,,,,,
MAPIC EUROPE,"Excelsiorlaan 83, 1930 Zaventem, Belgium",50.882604,4.453957,Excelsiorlaan,83,1930,Zaventem,Belgium,"46751, 46460",Wholesale trade of industrial chemical products; Wholesale trade of pharmaceutical goods,412863276,1972-12-12,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=412863276, databe: https://data.be/en/company/0412863276, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0412863276&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0412863276, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=412863276, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0412863276, kbodata: http://data.kbodata.be/organisation/0412_863_276, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0412863276, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0412863276, opencorporates: https://opencorporates.com/companies/be/0412863276, opencorporatesapi: https://api.opencorporates.com/companies/be/0412863276, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0412863276, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0412863276, trendstop: http://trendstop.knack.be/en/detail/0412863276, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0412863276",4,"21,794",2022.0,LA_WSale_Farma,"MAPIC EUROPE is relevant in the context of promoting conscious consumption and circular living as it offers a platform for businesses to embrace circularity through purchase, maintenance, repair, and sharing. With its emphasis on sustainable practices, MAPIC EUROPE aligns with the goals of Circuit, which is located in Istanbul's Karakoy neighborhood and focuses on cultivating conscious consumption. By bringing on board 27 partners, MAPIC EUROPE contributes to creating a community that supports sustainable and environmentally-friendly lifestyles.",https://awards.mapic.com/mapicawards2024/en/page/2023-finalists,"MAPIC EUROPE is a relevant company in the context of promoting sustainability and environmental benefits in the retail sector. The company is mentioned in the context of a sharing and exchanges place, solidarity hirings, and environmental benefits such as recycling unsold new products from retailers in the center and the region. MAPIC EUROPE is part of a larger initiative where property players are working towards a more sustainable future by cutting carbon emissions, recycling, and responsible manufacturing. The company's involvement in promoting sustainability and environmental initiatives aligns with the overall theme of the event or discussion surrounding the importance of sustainable practices in the retail industry.","https://awards.mapic.com/mapicawards2024/en/page/2023-finalists, https://www.cushmanwakefield.com/en/france/news/mapic",,
VIRBAC BELGIUM,"Esperantolaan 4, 3001 Leuven, Belgium",50.852604,4.7267131,Esperantolaan,4,3001,Leuven,Belgium,"46460, 46460",Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods,453392252,1994-09-08,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=453392252, databe: https://data.be/en/company/0453392252, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0453392252&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0453392252, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=453392252, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0453392252, kbodata: http://data.kbodata.be/organisation/0453_392_252, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0453392252, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0453392252, opencorporates: https://opencorporates.com/companies/be/0453392252, opencorporatesapi: https://api.opencorporates.com/companies/be/0453392252, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0453392252, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0453392252, trendstop: http://trendstop.knack.be/en/detail/0453392252, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0453392252",14,"20,359",2022.0,LA_WSale_Farma,,,,,,
BIOCODEX BENELUX,"Marie Curiesquare 20, 1070 Anderlecht, Belgium",50.8209226,4.285517,Marie Curiesquare,20,1070,Anderlecht,Belgium,"46460, 46460",Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods,401936623,1960-02-26,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=401936623, databe: https://data.be/en/company/0401936623, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0401936623&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0401936623, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=401936623, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0401936623, kbodata: http://data.kbodata.be/organisation/0401_936_623, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0401936623, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0401936623, opencorporates: https://opencorporates.com/companies/be/0401936623, opencorporatesapi: https://api.opencorporates.com/companies/be/0401936623, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0401936623, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0401936623, trendstop: http://trendstop.knack.be/en/detail/0401936623, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0401936623",49,"17,931",2022.0,LA_WSale_Farma,,,,,,
ZAMBON,"Burgemeester Etienne Demunterl. 3, 1090 Jette, Belgium",50.8871241,4.3065487,Burgemeester Etienne Demunterl.,3,1090,Jette,Belgium,"46460, 46460",Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods,403069741,1965-07-19,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403069741, databe: https://data.be/en/company/0403069741, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403069741&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403069741, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403069741, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403069741, kbodata: http://data.kbodata.be/organisation/0403_069_741, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403069741, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403069741, opencorporates: https://opencorporates.com/companies/be/0403069741, opencorporatesapi: https://api.opencorporates.com/companies/be/0403069741, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403069741, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403069741, trendstop: http://trendstop.knack.be/en/detail/0403069741, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403069741",26,"17,388",2022.0,LA_WSale_Farma,,,"De relevantie van het bedrijf ZAMBON wordt beschreven binnen het kader van programma's die gericht zijn op het welzijn van mensen, zowel psychologisch als fysiek. In dit geval worden specifieke programma's genoemd, zoals ""Take a Breath"" met yoga- en Pilates-sessies, en ""Share your Passion"" voor het delen van interesses. Deze programma's benadrukken het belang van zorg voor zowel de geestelijke als lichamelijke gezondheid, waardoor de relevantie van een bedrijf als ZAMBON, dat zich mogelijk bezighoudt met gezondheidsgerelateerde producten",https://valuereport.zambon.com/2020/eng-thegroup.html,,
NORGINE,"Romeinse straat 10, 3001 Leuven, Belgium",50.8451542,4.736038499999999,Romeinse straat,10,3001,Leuven,Belgium,"46460, 46460",Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods,403077461,1930-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403077461, databe: https://data.be/en/company/0403077461, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403077461&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403077461, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403077461, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403077461, kbodata: http://data.kbodata.be/organisation/0403_077_461, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403077461, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403077461, opencorporates: https://opencorporates.com/companies/be/0403077461, opencorporatesapi: https://api.opencorporates.com/companies/be/0403077461, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403077461, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403077461, trendstop: http://trendstop.knack.be/en/detail/0403077461, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403077461",32,"17,180",2021.0,LA_WSale_Farma,"De relevantie van het bedrijf NORGINE wordt beschreven in het kader van de IFR Awards 2022, waar HSBC werd geprezen als het Asia-Pacific Loan House. Er wordt verwezen naar NORGINE als een sterke lener en sponsor in een periode waarin de vraag naar kapitaal van leners afnam en risicoaversie toenam. De context waarin NORGINE wordt genoemd, benadrukt de financiële kracht en betrouwbaarheid van het bedrijf binnen de markt van leningen en kapitaalverstrekking.","https://www.ifre.com/story/3671179/emea-private-debt-loan-norgines-715m-buyout-loan-qkx6fmpkfj, https://www.whitecase.com/news/press-release/white-case-advises-goldman-sachs-asset-management-division-acquisition-norgine","De relevantie van het bedrijf NORGINE wordt beschreven in een context waarin financiële dienstverlening en zakelijke transacties centraal staan. Er wordt gesproken over het verstrekken van brugfinanciering door Morgan Stanley en de mogelijkheid voor Amerikaanse banken om te profiteren van grensoverschrijdende ambities. Binnen deze context kan NORGINE van belang zijn vanwege zijn expertise op het gebied van bedrijfsherstructurering, financiering en consultancydiensten. De genoemde thema's zoals werkkapitaalverbetering, schuldherstructurering en pensio","https://www.ifre.com/story/3671179/emea-private-debt-loan-norgines-715m-buyout-loan-qkx6fmpkfj, https://www.pwc.co.uk/services/deals/recent-deals/pwc-debt-and-advisory-acts-as-debt-adviser.html",,
ABBOTT RAPID DIAGNOSTICS,"Da Vincilaan 11, 1930 Zaventem, Belgium",50.8897747,4.458034899999999,Da Vincilaan,11,1930,Zaventem,Belgium,"46460, 46460",Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods,455002056,1995-04-11,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=455002056, databe: https://data.be/en/company/0455002056, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0455002056&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0455002056, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=455002056, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0455002056, kbodata: http://data.kbodata.be/organisation/0455_002_056, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0455002056, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0455002056, opencorporates: https://opencorporates.com/companies/be/0455002056, opencorporatesapi: https://api.opencorporates.com/companies/be/0455002056, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0455002056, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0455002056, trendstop: http://trendstop.knack.be/en/detail/0455002056, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0455002056",6,"17,090",2022.0,LA_WSale_Farma,"De relevantie van het bedrijf ABBOTT RAPID DIAGNOSTICS wordt beschreven in het bredere context van het mogelijk maken van zorg op afstand met behulp van gezondheidstechnologie, het bereiken van het potentieel van individuen, het vormgeven van de toekomst van hartgezondheid en het produceren van levensveranderende medische apparaten, zoals de FreeStyle Libre. Het bedrijf speelt een cruciale rol in het ondersteunen van innovatieve en gepersonaliseerde zorgoplossingen.",https://www.abbott.com/careers.html,,,Abbott Rapid Diagnostics wordt beschreven in de context van het leveren van levensveranderende technologieën die toegankelijk en betaalbaar zijn. Het bedrijf maakt significante vooruitgang in de medische technologie die nieuwe tijdperken van gezondheid voor iedereen mogelijk maakt. Hun sponsoring of ondersteuning draagt bij aan het bevorderen van deze doelstellingen.,https://www.abbott.com/
CEVA SANTE ANIMALE,"Metrologielaan 6, 1130 Brussel, Belgium",50.8939221,4.4286426,Metrologielaan,6,1130,Brussel,Belgium,"46460, 46460, 46216, 51210","Wholesale trade of pharmaceutical goods; Wholesale trade of pharmaceutical goods; Wholesale trade of livestock feed and agricultural products, general assortment; Freight air transport",418894795,1978-11-03,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=418894795, databe: https://data.be/en/company/0418894795, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0418894795&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0418894795, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=418894795, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0418894795, kbodata: http://data.kbodata.be/organisation/0418_894_795, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0418894795, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0418894795, opencorporates: https://opencorporates.com/companies/be/0418894795, opencorporatesapi: https://api.opencorporates.com/companies/be/0418894795, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0418894795, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0418894795, trendstop: http://trendstop.knack.be/en/detail/0418894795, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0418894795",26,"15,790",2022.0,LA_WSale_Farma,,,"The context in which the relevance of CEVA SANTE ANIMALE is described is within the discussion of using digital tools such as APIs and IoT to monitor and ensure the well-being of animals in transit. CEVA SANTE ANIMALE is likely mentioned in this context as a company that specializes in animal health and well-being, and may be involved in providing solutions or services related to the transportation and care of animals.",https://fr.linkedin.com/posts/ceva-sante-animale_ceva-sant%C3%A9-animale-together-beyond-animal-activity-7167815502688432129-scUT,"De relevantie van het bedrijf CEVA SANTE ANIMALE wordt beschreven in de context van het aanbieden van oplossingen voor de kennis en monitoring van diergezondheid. Het bedrijf nodigt geïnteresseerden uit om projecten in te dienen via hun Open Innovation Hub, wat wijst op hun betrokkenheid bij innovatie op het gebied van dierenzorg. Dit toont aan dat CEVA SANTE ANIMALE een belangrijke rol speelt in het bevorderen van de gezondheid en het welzijn van dieren.",https://fr.linkedin.com/posts/ceva-sante-animale_ceva-sant%C3%A9-animale-together-beyond-animal-activity-7167815502688432129-scUT
